Year,Approx_Age18_Year,Alberta_Births,Canada_Births,Alberta_Age18_Pipeline_Index
2006,2024,45250,357921,100.0
2007,2025,49039,370369,108.37348066298343
2008,2026,50871,381860,112.4220994475138
2009,2027,51741,384651,114.34475138121547
2010,2028,50870,379191,112.41988950276243
2011,2029,51063,379244,112.84640883977902
2012,2030,52649,383101,116.35138121546962
2013,2031,53428,381054,118.07292817679557
2014,2032,55836,384577,123.39447513812154
2015,2033,56946,382979,125.84751381215469
2016,2034,55948,384023,123.64198895027624
2017,2035,53717,378280,118.71160220994474
2018,2036,52530,375086,116.08839779005524
2019,2037,51798,373889,114.4707182320442
2020,2038,49073,361582,108.44861878453038
2021,2039,49967,372564,110.4243093922652
2022,2040,47487,355134,104.94364640883977
2023,2041,48303,352644,106.74696132596686
2024,2042,51614,365737,114.06408839779006
