Province,Institution,Record_Type,Academic_Year,Academic_Year_Start,Academic_Year_End,Enrolment
Alberta,Alberta,Province Total,2014/2015,2014,2015,184026
Alberta,Alberta,Province Total,2015/2016,2015,2016,185679
Alberta,Alberta,Province Total,2016/2017,2016,2017,190947
Alberta,Alberta,Province Total,2017/2018,2017,2018,194010
Alberta,Alberta,Province Total,2018/2019,2018,2019,200391
Alberta,Alberta,Province Total,2019/2020,2019,2020,203823
Alberta,Alberta,Province Total,2020/2021,2020,2021,203523
Alberta,Alberta,Province Total,2021/2022,2021,2022,203580
Alberta,Alberta,Province Total,2022/2023,2022,2023,205734
Alberta,Alberta,Province Total,2023/2024,2023,2024,216957
Alberta,Alberta University of the Arts,Institution,2014/2015,2014,2015,1116
Alberta,Alberta University of the Arts,Institution,2015/2016,2015,2016,1158
Alberta,Alberta University of the Arts,Institution,2016/2017,2016,2017,1140
Alberta,Alberta University of the Arts,Institution,2017/2018,2017,2018,1107
Alberta,Alberta University of the Arts,Institution,2018/2019,2018,2019,1077
Alberta,Alberta University of the Arts,Institution,2019/2020,2019,2020,1143
Alberta,Alberta University of the Arts,Institution,2020/2021,2020,2021,1110
Alberta,Alberta University of the Arts,Institution,2021/2022,2021,2022,1089
Alberta,Alberta University of the Arts,Institution,2022/2023,2022,2023,1131
Alberta,Alberta University of the Arts,Institution,2023/2024,2023,2024,1200
Alberta,Ambrose University,Institution,2014/2015,2014,2015,519
Alberta,Ambrose University,Institution,2015/2016,2015,2016,576
Alberta,Ambrose University,Institution,2016/2017,2016,2017,612
Alberta,Ambrose University,Institution,2017/2018,2017,2018,606
Alberta,Ambrose University,Institution,2018/2019,2018,2019,594
Alberta,Ambrose University,Institution,2019/2020,2019,2020,573
Alberta,Ambrose University,Institution,2020/2021,2020,2021,600
Alberta,Ambrose University,Institution,2021/2022,2021,2022,546
Alberta,Ambrose University,Institution,2022/2023,2022,2023,537
Alberta,Ambrose University,Institution,2023/2024,2023,2024,552
Alberta,Athabasca University,Institution,2014/2015,2014,2015,17577
Alberta,Athabasca University,Institution,2015/2016,2015,2016,17331
Alberta,Athabasca University,Institution,2016/2017,2016,2017,17346
Alberta,Athabasca University,Institution,2017/2018,2017,2018,16941
Alberta,Athabasca University,Institution,2018/2019,2018,2019,18561
Alberta,Athabasca University,Institution,2019/2020,2019,2020,18930
Alberta,Athabasca University,Institution,2020/2021,2020,2021,20535
Alberta,Athabasca University,Institution,2021/2022,2021,2022,17127
Alberta,Athabasca University,Institution,2022/2023,2022,2023,16458
Alberta,Athabasca University,Institution,2023/2024,2023,2024,16005
Alberta,Bow Valley College,Institution,2014/2015,2014,2015,6891
Alberta,Bow Valley College,Institution,2015/2016,2015,2016,7056
Alberta,Bow Valley College,Institution,2016/2017,2016,2017,7242
Alberta,Bow Valley College,Institution,2017/2018,2017,2018,7506
Alberta,Bow Valley College,Institution,2018/2019,2018,2019,8451
Alberta,Bow Valley College,Institution,2019/2020,2019,2020,8445
Alberta,Bow Valley College,Institution,2020/2021,2020,2021,7032
Alberta,Bow Valley College,Institution,2021/2022,2021,2022,7170
Alberta,Bow Valley College,Institution,2022/2023,2022,2023,8022
Alberta,Bow Valley College,Institution,2023/2024,2023,2024,8931
Alberta,Burman University,Institution,2014/2015,2014,2015,474
Alberta,Burman University,Institution,2015/2016,2015,2016,471
Alberta,Burman University,Institution,2016/2017,2016,2017,456
Alberta,Burman University,Institution,2017/2018,2017,2018,435
Alberta,Burman University,Institution,2018/2019,2018,2019,435
Alberta,Burman University,Institution,2019/2020,2019,2020,459
Alberta,Burman University,Institution,2020/2021,2020,2021,390
Alberta,Burman University,Institution,2021/2022,2021,2022,339
Alberta,Burman University,Institution,2022/2023,2022,2023,348
Alberta,Burman University,Institution,2023/2024,2023,2024,333
Alberta,Concordia University of Edmonton,Institution,2014/2015,2014,2015,1506
Alberta,Concordia University of Edmonton,Institution,2015/2016,2015,2016,1686
Alberta,Concordia University of Edmonton,Institution,2016/2017,2016,2017,1878
Alberta,Concordia University of Edmonton,Institution,2017/2018,2017,2018,2001
Alberta,Concordia University of Edmonton,Institution,2018/2019,2018,2019,2235
Alberta,Concordia University of Edmonton,Institution,2019/2020,2019,2020,2679
Alberta,Concordia University of Edmonton,Institution,2020/2021,2020,2021,2997
Alberta,Concordia University of Edmonton,Institution,2021/2022,2021,2022,2817
Alberta,Concordia University of Edmonton,Institution,2022/2023,2022,2023,2628
Alberta,Concordia University of Edmonton,Institution,2023/2024,2023,2024,2568
Alberta,Grant MacEwan University,Institution,2014/2015,2014,2015,15870
Alberta,Grant MacEwan University,Institution,2015/2016,2015,2016,15951
Alberta,Grant MacEwan University,Institution,2016/2017,2016,2017,15897
Alberta,Grant MacEwan University,Institution,2017/2018,2017,2018,16206
Alberta,Grant MacEwan University,Institution,2018/2019,2018,2019,15894
Alberta,Grant MacEwan University,Institution,2019/2020,2019,2020,15639
Alberta,Grant MacEwan University,Institution,2020/2021,2020,2021,15780
Alberta,Grant MacEwan University,Institution,2021/2022,2021,2022,15501
Alberta,Grant MacEwan University,Institution,2022/2023,2022,2023,15249
Alberta,Grant MacEwan University,Institution,2023/2024,2023,2024,16101
Alberta,Keyano College,Institution,2014/2015,2014,2015,1434
Alberta,Keyano College,Institution,2015/2016,2015,2016,1254
Alberta,Keyano College,Institution,2016/2017,2016,2017,1146
Alberta,Keyano College,Institution,2017/2018,2017,2018,1242
Alberta,Keyano College,Institution,2018/2019,2018,2019,1326
Alberta,Keyano College,Institution,2019/2020,2019,2020,1332
Alberta,Keyano College,Institution,2020/2021,2020,2021,1086
Alberta,Keyano College,Institution,2021/2022,2021,2022,1194
Alberta,Keyano College,Institution,2022/2023,2022,2023,1311
