Province,Institution,Record_Type,Academic_Year,Academic_Year_Start,Academic_Year_End,Enrolment,Canadian,International,International_Share_Pct,Canadian_Share_Pct,Status_Sum_Difference
Alberta,Alberta,Province Total,2014/2015,2014,2015,184026,167463.0,16458.0,8.943301490006847,90.99964135502591,105.0
Alberta,Alberta,Province Total,2015/2016,2015,2016,185679,167946.0,17478.0,9.413019242886918,90.4496469713861,255.0
Alberta,Alberta,Province Total,2016/2017,2016,2017,190947,172506.0,18303.0,9.5853823312228,90.34234630551933,138.0
Alberta,Alberta,Province Total,2017/2018,2017,2018,194010,175065.0,18798.0,9.689191278800061,90.23503943095716,147.0
Alberta,Alberta,Province Total,2018/2019,2018,2019,200391,178617.0,21663.0,10.810365734988098,89.1342425558034,111.0
Alberta,Alberta,Province Total,2019/2020,2019,2020,203823,179178.0,24636.0,12.086957801621995,87.90862660249334,9.0
Alberta,Alberta,Province Total,2020/2021,2020,2021,203523,179850.0,23667.0,11.628661134122433,88.36839079612623,6.0
Alberta,Alberta,Province Total,2021/2022,2021,2022,203580,178239.0,25311.0,12.432950191570882,87.55231358679634,30.0
Alberta,Alberta,Province Total,2022/2023,2022,2023,205734,175698.0,30018.0,14.590685059348479,85.40056577911284,18.0
Alberta,Alberta,Province Total,2023/2024,2023,2024,216957,179535.0,37416.0,17.245813686583055,82.75142078845117,6.0
Alberta,Alberta University of the Arts,Institution,2014/2015,2014,2015,1116,1047.0,63.0,5.64516129032258,93.81720430107528,6.0
Alberta,Alberta University of the Arts,Institution,2015/2016,2015,2016,1158,1083.0,69.0,5.958549222797927,93.52331606217616,6.0
Alberta,Alberta University of the Arts,Institution,2016/2017,2016,2017,1140,1068.0,66.0,5.7894736842105265,93.6842105263158,6.0
Alberta,Alberta University of the Arts,Institution,2017/2018,2017,2018,1107,1026.0,81.0,7.317073170731707,92.6829268292683,0.0
Alberta,Alberta University of the Arts,Institution,2018/2019,2018,2019,1077,993.0,87.0,8.07799442896936,92.20055710306406,-3.0
Alberta,Alberta University of the Arts,Institution,2019/2020,2019,2020,1143,1056.0,90.0,7.874015748031496,92.38845144356955,-3.0
Alberta,Alberta University of the Arts,Institution,2020/2021,2020,2021,1110,1017.0,87.0,7.837837837837839,91.62162162162161,6.0
Alberta,Alberta University of the Arts,Institution,2021/2022,2021,2022,1089,1011.0,78.0,7.162534435261708,92.8374655647383,0.0
Alberta,Alberta University of the Arts,Institution,2022/2023,2022,2023,1131,1026.0,102.0,9.018567639257293,90.71618037135278,3.0
Alberta,Alberta University of the Arts,Institution,2023/2024,2023,2024,1200,1101.0,99.0,8.25,91.75,0.0
Alberta,Ambrose University,Institution,2014/2015,2014,2015,519,501.0,18.0,3.4682080924855487,96.53179190751445,0.0
Alberta,Ambrose University,Institution,2015/2016,2015,2016,576,555.0,15.0,2.604166666666667,96.35416666666666,6.0
Alberta,Ambrose University,Institution,2016/2017,2016,2017,612,588.0,27.0,4.411764705882353,96.07843137254902,-3.0
Alberta,Ambrose University,Institution,2017/2018,2017,2018,606,576.0,30.0,4.9504950495049505,95.04950495049505,0.0
Alberta,Ambrose University,Institution,2018/2019,2018,2019,594,567.0,30.0,5.05050505050505,95.45454545454545,-3.0
Alberta,Ambrose University,Institution,2019/2020,2019,2020,573,564.0,9.0,1.5706806282722512,98.42931937172776,0.0
Alberta,Ambrose University,Institution,2020/2021,2020,2021,600,567.0,30.0,5.0,94.5,3.0
Alberta,Ambrose University,Institution,2021/2022,2021,2022,546,531.0,15.0,2.7472527472527473,97.25274725274726,0.0
Alberta,Ambrose University,Institution,2022/2023,2022,2023,537,510.0,27.0,5.027932960893855,94.97206703910615,0.0
Alberta,Ambrose University,Institution,2023/2024,2023,2024,552,510.0,39.0,7.065217391304348,92.3913043478261,3.0
Alberta,Athabasca University,Institution,2014/2015,2014,2015,17577,17211.0,354.0,2.013995562382659,97.91773340160437,12.0
Alberta,Athabasca University,Institution,2015/2016,2015,2016,17331,16860.0,429.0,2.4753332179331835,97.2823264670244,42.0
Alberta,Athabasca University,Institution,2016/2017,2016,2017,17346,16836.0,468.0,2.698028363887928,97.05984088550674,42.0
