Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
Alberta 11,Alberta,Alberta,2014/2015,184026.0,Total,Alberta,Province Total,2014,2015
"University of Alberta, Alberta",University of Alberta,University of Alberta,2014/2015,38520.0,Total,Alberta,Institution,2014,2015
"Athabasca University, Alberta",Athabasca University,Athabasca University,2014/2015,17577.0,Total,Alberta,Institution,2014,2015
"University of Calgary, Alberta",University of Calgary,University of Calgary,2014/2015,31308.0,Total,Alberta,Institution,2014,2015
"Burman University, Alberta",Burman University,Burman University,2014/2015,474.0,Total,Alberta,Institution,2014,2015
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2014/2015,1506.0,Total,Alberta,Institution,2014,2015
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2014/2015,8157.0,Total,Alberta,Institution,2014,2015
"The King's University, Alberta",The King's University,The King's University,2014/2015,702.0,Total,Alberta,Institution,2014,2015
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2014/2015,732.0,Total,Alberta,Institution,2014,2015
"Ambrose University, Alberta",Ambrose University,Ambrose University,2014/2015,519.0,Total,Alberta,Institution,2014,2015
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2014/2015,15870.0,Total,Alberta,Institution,2014,2015
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2014/2015,12372.0,Total,Alberta,Institution,2014,2015
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2014/2015,1116.0,Total,Alberta,Institution,2014,2015
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2014/2015,6891.0,Total,Alberta,Institution,2014,2015
"Olds College, Alberta",Olds College,Olds College,2014/2015,1371.0,Total,Alberta,Institution,2014,2015
"Lakeland College, Alberta",Lakeland College,Lakeland College,2014/2015,1959.0,Total,Alberta,Institution,2014,2015
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2014/2015,1995.0,Total,Alberta,Institution,2014,2015
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2014/2015,4413.0,Total,Alberta,Institution,2014,2015
