Year,Canada_Births,Alberta_Births,Canada_Birth_Index,Alberta_Birth_Index,Approx_Age18_Year
2000,328596,37015,100.0,100.0,2018
2001,334615,37626,101.83173258347638,101.65068215588275,2019
2002,329894,38707,100.39501393808811,104.5711198162907,2020
2003,336352,40308,102.36034522635697,108.89639335404566,2021
2004,339012,40789,103.16984990687652,110.19586654059165,2022
2005,345365,42124,105.10322706301965,113.80251249493449,2023
2006,357921,45250,108.92433261512618,122.24773740375522,2024
2007,370369,49039,112.71257105990335,132.48412805619344,2025
2008,381860,50871,116.2095704147342,137.43347291638526,2026
2009,384651,51741,117.05894167914398,139.78387140348508,2027
2010,379191,50870,115.39732680860388,137.43077130892883,2028
2011,379244,51063,115.4134560372007,137.95218154802106,2029
2012,383101,52649,116.58723782395404,142.23693097392947,2030
2013,381054,53428,115.96428441003543,144.3414831824936,2031
2014,384577,55836,117.03642162412203,150.84695393759287,2032
2015,382979,56946,116.55011016567455,153.84573821423749,2033
2016,384023,55948,116.8678255365251,151.14953397271375,2034
2017,378280,53717,115.12008667177933,145.12224773740377,2035
2018,375086,52530,114.14807240502014,141.91543968661352,2036
2019,373889,51798,113.78379529878634,139.93786302850197,2037
2020,361582,49073,110.03846668857807,132.57598270971226,2038
2021,372564,49967,113.38056458386589,134.99121977576658,2039
2022,355134,47487,108.07617865098784,128.29123328380388,2040
2023,352644,48303,107.31840923200527,130.4957449682561,2041
2024,365737,51614,111.30293734555504,139.44076725651763,2042
